code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
002380,科远智慧,机器人概念,58.97,78.3,15.98,29.55,158.06,658,0.87,9174880741.0
301696,三瑞智能,机器人概念,117.54,78.3,80.78,108.21,136.95,60,-4.88,52429310700.0
300339,润和软件,机器人概念,224.56,78.5,21.59,86.86,388.36,648,3.07,33106798660.0
002050,三花智控,机器人概念,48.78,78.5,17.23,34.21,68.23,731,-3.04,193316160174.0
002057,中钢天源,机器人概念,41.01,78.5,13.75,30.09,333.31,731,7.58,7915778913.0
300964,本川智能,机器人概念,221.99,78.8,34.17,111.64,633.83,885,0.22,7419109205.0
002283,天润工业,机器人概念,27.99,78.8,10.01,17.67,76.78,731,-0.88,11508517498.0
603619,中曼石油,机器人概念,38.54,79.8,8.23,18.96,97.67,510,-8.32,11003655372.0
688678,福立旺,机器人概念,98.68,80.0,17.74,30.72,328.46,966,0.94,8630510186.0
002611,东方精工,机器人概念,50.06,80.2,3.38,17.48,200.79,657,0.11,22057228481.0
688396,华润微,机器人概念,91.61,80.5,24.14,63.57,146.4,765,4.84,87143902715.0
002214,*ST大立,机器人概念,118.34,81.1,25.93,72.16,188.39,454,-0.56,8512983409.0
300873,海晨股份,机器人概念,23.95,81.2,10.85,18.07,54.78,1058,2.04,5086964945.0
301366,一博科技,机器人概念,198.71,81.3,23.28,49.25,372.69,1351,1.29,9561136852.0
600143,金发科技,机器人概念,36.1,81.4,7.94,23.22,169.72,731,-0.06,43601496349.0
603119,浙江荣泰,机器人概念,117.87,81.5,23.03,48.07,166.23,1043,-0.22,34183047087.0
300678,中科信息,机器人概念,434.14,81.7,28.18,122.5,2259.07,810,0.43,6873198135.0
688709,成都华微,机器人概念,306.98,81.8,32.43,128.77,428.3,853,1.38,20111629081.0
600170,上海建工,机器人概念,15.3,81.8,6.76,11.7,25.99,731,-0.41,21592833578.0
603082,北自科技,机器人概念,39.08,82.1,26.27,36.34,55.68,861,0.06,5830457895.0
300503,昊志机电,机器人概念,137.81,82.1,17.09,63.85,612.4,513,-3.1,25986600243.0
300527,ST应急,机器人概念,542.98,82.2,29.57,76.38,8336.17,583,-0.27,7635945494.0
688059,华锐精密,机器人概念,51.91,82.2,14.4,37.4,74.46,974,0.02,17268714701.0
605133,嵘泰股份,机器人概念,52.01,82.2,18.63,37.29,78.6,966,1.34,9868643405.0
300007,汉威科技,机器人概念,85.21,82.6,17.13,38.56,252.63,657,3.64,14715406118.0
300735,光弘科技,机器人概念,60.48,82.7,16.85,35.49,103.94,771,-0.4,16287494633.0
600775,南京熊猫,机器人概念,290.27,83.1,33.52,116.97,7181.72,557,1.54,9631858096.0
301007,德迈仕,机器人概念,101.44,83.5,25.65,50.54,146.15,910,0.4,5058686600.0
688626,翔宇医疗,机器人概念,96.11,83.8,17.47,41.37,188.79,948,0.45,7774400000.0
603135,中重科技,机器人概念,155.41,83.8,27.53,49.19,186.43,1114,-4.67,9329921647.0
688609,九联科技,机器人概念,68.33,84.0,28.03,43.5,95.66,445,-0.09,5908506805.0
688308,欧科亿,机器人概念,78.16,84.4,12.44,31.13,615.38,976,1.02,23675940480.0
688379,华光新材,机器人概念,57.3,84.5,13.87,29.95,283.34,998,1.97,7578339382.0
002957,科瑞技术,机器人概念,76.29,84.5,17.11,41.15,294.68,837,0.35,22834446676.0
300058,蓝色光标,机器人概念,211.67,84.6,14.15,31.18,3811.91,538,1.99,55109895834.0
603809,豪能股份,机器人概念,34.19,85.0,12.84,23.25,48.35,779,-0.39,9423757384.0
301013,利和兴,机器人概念,216.46,85.3,54.35,97.38,532.44,333,7.83,12806782038.0
301280,珠城科技,机器人概念,37.11,85.4,17.97,28.8,45.55,1260,-0.02,7845435270.0
300322,硕贝德,机器人概念,217.23,85.5,3.1,101.63,444.18,454,1.33,13336506055.0
002975,博杰股份,机器人概念,106.43,85.7,19.64,38.89,417.73,610,5.0,26026748537.0
002171,楚江新材,机器人概念,54.87,85.8,11.25,31.75,144.25,731,-0.3,21422779910.0
688160,步科股份,机器人概念,150.59,85.9,22.68,55.6,241.79,1018,-6.14,10554702337.0
688360,德马科技,机器人概念,59.05,85.9,17.59,29.97,90.39,1099,-1.82,5831416697.0
002272,川润股份,机器人概念,247.13,85.9,18.39,49.18,351.26,376,8.62,9649058270.0
603496,恒为科技,机器人概念,142.49,86.0,24.56,58.31,1678.35,728,0.23,6948540573.0
300440,运达科技,机器人概念,96.58,86.0,19.11,34.88,298.88,731,0.22,8056339278.0
300278,华昌达,机器人概念,543.71,86.0,17.43,96.12,1951.69,514,1.53,6560433397.0
301368,丰立智能,机器人概念,3053.67,86.2,39.6,278.39,4389.88,1224,-2.18,5812840000.0
