==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
300607  拓斯达          139.4   94.5%     16.2     44.2     247.0   9.21%      180
688290  景业智能         356.8   94.5%     30.8     81.9     419.8  12.50%       71
688307  中润光学         112.7   94.5%     30.1     61.5     172.1   3.10%       79
300098  高新兴          344.8   94.6%     20.6     41.0     390.7  -0.39%       89
601238  广汽集团          98.9   94.6%      9.0     19.7    2650.6  -1.01%      599
002139  拓邦股份          58.0   94.7%     15.5     25.9      83.3  -0.98%      126
300952  恒辉安防          67.0   94.7%     16.9     30.0      86.7  -2.17%       53
002361  神剑股份         587.1   94.9%     25.4     44.9    1757.5  -4.98%      167
300571  平治信息         159.9   94.9%     16.2     28.0     214.9   1.25%       60
688583  思看科技         141.2   95.1%     50.1     67.5     155.2   3.67%      112
000559  万向钱潮          49.4   95.1%     14.4     26.6      66.8  -2.38%      477
603344  星德胜           34.8   95.3%     17.2     26.0      39.8  -0.71%       57
300660  江苏雷利          74.3   95.5%     15.6     27.3      90.6  -3.40%      195
600850  电科数字          43.7   95.5%     21.1     32.4      54.5  -1.18%      131
002747  埃斯顿          253.7   95.6%     58.9    128.0     459.9   9.99%      363
300420  五洋自控         161.7   95.6%     23.0     42.5    1366.7  -4.56%       68
300265  通光线缆         346.6   95.8%     20.4     64.1    1241.6   1.37%      108
002681  奋达科技         438.6   95.8%      6.0     46.1     518.0  -2.44%       93
600203  福日电子         188.0   96.3%     27.1     72.5     205.8  -1.49%       71
301182  凯旺科技         133.0   96.3%     32.1     47.2     167.2   0.94%       77
300885  海昌新材         107.2   96.5%     26.3     44.9     129.6  -1.39%       65
603990  麦迪科技         337.1   96.6%     24.2     78.0     418.9  -0.75%       65
603960  克来机电         268.6   96.7%     37.8     71.2     979.7  -1.24%       56
000988  华工科技          88.1   96.7%     19.1     42.8     113.3   1.70%     1522
300327  中颖电子         137.9   96.9%     24.1     48.5     164.8   3.88%       93
002354  天娱数科         198.5   97.0%      6.4     22.5     207.4   9.96%      133
301132  满坤科技          51.4   97.0%     19.9     38.8      62.0   1.05%       57
601868  中国能建          21.8   97.0%     10.4     12.9      27.5  -2.14%     1212
688173  希荻微         3339.1   97.1%    225.2    371.3    3498.6   3.78%       64
688585  上纬新材        1139.4   97.2%     20.5     43.9    1347.6  -1.83%      667
688570  天玛智控         124.3   97.3%     15.5     27.5     141.4  -1.67%       69
002182  宝武镁业         171.1   97.5%      5.7     31.0     231.6  -0.53%      130
600590  泰豪科技         140.3   97.5%     14.7     46.2     240.3  -0.40%      105
603219  富佳股份         158.6   97.6%     18.2     30.4     190.2  -1.55%       86
600967  内蒙一机          69.5   97.8%     14.3     27.8      86.3  -0.51%      198
301312  智立方          217.0   97.8%     25.9     60.8     278.3   1.05%      142
300852  四会富仕          62.3   97.8%     10.5     26.3      71.5   1.18%       81
301550  斯菱智驱         252.0   97.9%     18.7     52.6     275.1  -4.53%      398
301328  维峰电子          92.1   98.0%     24.2     46.8     107.6   0.34%       85
301525  儒竞科技          86.0   98.0%     18.1     37.2      95.7   0.04%       71
603728  鸣志电器         417.0   98.1%     18.4     43.0     546.9  -2.82%      275
688003  天准科技         189.6   98.1%     26.6     63.9     212.7  -7.69%      198
002471  中超控股        1240.1   98.1%      9.9     61.8    1365.1  -5.80%      104
002990  盛视科技         200.8   98.1%     24.6     44.6     309.1  -0.78%      117
300053  航宇微          211.2   98.2%     44.5     77.2     267.9  -2.48%      115
603667  五洲新春         338.9   98.4%     19.1     39.3     400.5  -4.18%      274
300351  永贵电器         360.2   98.4%     15.7     44.4     578.2   0.43%       63
000636  风华高科         209.1   98.4%      8.3     54.9     401.0   9.99%      707
000090  天健集团          39.3   98.5%      4.3     10.1      45.8   1.49%       64
300222  科大智能         122.4   98.6%     19.7     57.2     152.5  -0.37%      106
605555  德昌股份          82.4   98.6%     15.0     21.9      85.3   1.31%       79
301603  乔锋智能          43.4   98.6%     21.4     27.3      44.7   3.16%      171
300137  先河环保        3594.9   98.6%     13.4     34.4    3899.6  -2.00%       97
603211  晋拓股份         124.2   98.7%     30.0     78.0     134.8  10.01%       85
600673  东阳光          813.6   98.7%     16.0     45.7    1028.9   9.35%     1038
001223  欧克科技         189.8   98.7%     17.4     37.7     212.5  -0.93%       58
605018  长华集团          81.3   98.8%     21.3     44.3      84.6  10.02%       93
002931  锋龙股份         799.5   98.9%     22.3     47.6     968.1   2.45%      147
603920  世运电路          77.0   98.9%     13.7     28.9      91.7   2.82%      428
301196  唯科科技          69.7   98.9%     15.6     27.9      84.4  14.13%      200
300177  中海达         9438.5   98.9%      1.0    121.2    9883.6   0.29%       51
002008  大族激光          90.2   99.0%     11.8     30.4     111.3   1.19%     1259
002009  天奇股份         258.1   99.0%     17.2     43.5     305.1  -5.64%       90
002641  公元股份          75.6   99.0%      7.2     19.9      81.8   2.12%       53
300687  赛意信息         135.2   99.0%     16.4     43.9     158.0  -2.42%       99
300568  星源材质        1155.0   99.0%     17.1     51.0    1295.7   9.66%      240
300490  华自科技         168.4   99.1%     21.0     72.8     183.4   0.43%       56
300075  数字政通         153.4   99.3%     22.0     43.5     169.6   1.39%       77
002892  科力尔          421.0   99.4%     24.4     51.9     467.0  -1.65%       80
300709  精研科技         462.8   99.4%     19.4     42.9     486.5   0.74%       89
300969  恒帅股份         112.5   99.4%     17.4     40.0     120.4  -3.56%      179
300486  东杰智能         530.0   99.4%     34.6     51.8     561.1  -1.20%      126
605488  福莱新材         181.5   99.4%     15.2     33.1     201.5   3.21%      115
002965  祥鑫科技         189.4   99.5%     11.5     34.1     194.2  -0.89%       98
300258  精锻科技          84.0   99.5%     14.7     29.2      90.1  -3.51%       74
002436  兴森科技         435.8   99.5%     17.4     43.0     469.0   1.76%      640
603015  弘讯科技         193.3   99.6%     24.5     63.5     200.0   1.58%       52
603131  上海沪工        2832.1   99.6%     22.7     59.5    2895.8  -1.66%       62
301488  豪恩汽电         205.6   99.6%     33.2     61.9     205.9   5.57%      157
688381  帝奥微         9939.9   99.6%      1.0    106.1    9947.6   3.11%       99
300455  航天智装         198.3   99.7%     35.3     65.5     203.6   0.64%      159
301248  杰创智能        7801.2   99.7%     21.8     61.3    8236.4   1.99%      110
603319  XD美湖股        196.5   99.7%     11.7     21.6     201.7  -9.99%      127
002277  友阿股份        1334.6   99.8%      7.6     29.3    1334.6   1.73%       90
002527  新时达         1762.9   99.8%     27.1     46.5    1762.9  -2.39%      105
600843  上工申贝         167.8   99.8%     19.4     47.4     167.8   1.86%       55
300626  华瑞股份         501.8   99.8%     23.9     60.3     501.8 -11.65%       66
300632  光莆股份         216.4   99.8%     18.1     39.8     230.5  -0.34%       81
600869  远东股份         556.0   99.8%     16.9     50.4     556.0   3.10%      628
002859  洁美科技         148.1   99.8%     23.2     46.1     174.1   4.84%      363
300679  电连技术         104.3   99.8%     15.2     38.3     105.5   2.34%      249
002896  中大力德         331.9   99.9%     20.4     51.0     331.9  -7.08%      174
688017  绿的谐波         574.1   99.9%     46.6    163.9     574.1  -2.56%      765
688655  迅捷兴          475.4   99.9%     24.0     40.0     475.4   0.26%       67
601137  博威合金         149.5   99.9%      8.0     19.4     149.5  -1.19%      213
002903  宇环数控        1637.0   99.9%     22.9     70.8    1637.0  -3.78%       73
920593  鼎智科技         272.2   99.9%     17.3    111.5     272.2  -2.96%       64
688777  中控技术         206.8   99.9%     24.1     57.6     206.8   1.25%      829
688646  ST逸飞        1506.2   99.9%     20.6     34.5    1506.2   4.42%       60
688507  索辰科技        1520.5   99.9%     66.5    159.5    1520.5  -0.54%      200
600487  亨通光电          72.9   99.9%     10.7     21.3      72.9   9.23%     2572
002815  崇达技术          88.0   99.9%     14.3     27.4      88.0   3.95%      221
688383  新益昌          344.8   99.9%     27.2     70.5     344.8   1.11%      142
603203  快克智能         123.6   99.9%     16.8     27.1     123.6  -1.58%      181
------------------------------------------------------------------------------
分位<20% = 当前 PE 处于自身历史低位(相对低点)
⚠ 分位低也可能是业绩恶化/盈利下滑导致,需结合基本面核实
