==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
300221  银禧科技          50.9   43.4%     15.7     53.8     329.6  13.89%       76
600388  龙净环保          17.8   44.5%      9.8     18.6      32.8   1.77%      212
300790  宇瞳光学          44.2   44.6%     23.1     45.5     143.6   1.44%      114
002276  万马股份          35.0   44.9%     11.8     38.0      82.9  -1.23%      114
300903  科翔股份          66.4   45.3%     37.4     69.5     157.5   4.38%      303
002010  传化智联          20.5   45.3%      6.7     22.1     163.8  -0.41%      135
300975  商络电子          54.7   45.7%     17.3     60.0     262.3   2.52%      293
605056  咸亨国际          29.0   46.1%     23.3     30.0      62.6   0.96%       77
600549  厦门钨业          31.2   46.2%     12.4     35.3     184.2   5.46%      994
688248  南网科技          66.4   46.5%     40.5     68.4     222.5  -0.74%      272
600845  宝信软件          43.5   46.6%     29.4     44.5      89.0   0.90%      545
002617  露笑科技          83.0   47.4%     15.3     89.3    2758.4   3.98%      160
002833  弘亚数控          17.1   47.8%     10.3     17.4      52.5  -0.61%       76
002230  科大讯飞         122.8   48.0%     51.6    124.2     599.9   0.93%     1070
301330  熵基科技          32.4   48.0%     19.6     32.8      60.3  -1.62%       63
002530  金财互联          90.2   48.9%     16.6    103.3    4133.5   2.44%       62
000887  中鼎股份          19.0   49.1%      9.3     19.1      56.1  -1.29%      283
600742  富维股份          12.8   49.4%      7.0     12.9      18.1   0.78%       58
301345  涛涛车业          23.9   50.0%     13.5     23.9      45.5   0.54%      218
300815  玉禾田           13.5   50.3%      7.6     13.5      60.7   1.18%       75
002765  蓝黛科技          34.7   50.7%     15.4     34.5    1684.6  -0.50%       52
002164  宁波东力          38.6   50.7%      1.6     34.5     538.2  -2.86%       76
603305  旭升集团          42.9   51.7%     12.1     42.3     112.1  -1.71%      166
600366  宁波韵升          34.3   52.2%     11.8     32.3     142.6   0.08%      141
688518  联赢激光          52.7   53.4%     11.7     50.6     167.6   1.87%       89
002541  鸿路钢构          20.0   54.2%      6.9     19.3      50.7  -2.69%      125
002111  威海广泰          31.0   54.4%      9.3     29.7     150.0  -0.52%       51
600839  四川长虹          42.5   54.5%     24.6     40.9     264.6   0.73%      318
002324  普利特           42.1   55.0%     17.9     38.7     589.3   1.90%      131
603112  华翔股份          17.9   55.4%     10.1     17.7      36.6   3.84%      106
002405  四维图新         161.9   55.6%     56.4    150.7     355.3   3.81%      188
002886  沃特股份          99.3   55.9%     26.0     85.1     766.0   3.61%       73
300077  国民技术          80.3   56.2%     19.6     76.1    3703.4   2.89%      150
300128  锦富技术         172.2   56.9%     58.7    144.0     571.9   1.72%       92
000821  ST京机          48.2   57.0%     12.0     38.8     308.1  -0.10%       61
000969  安泰科技          58.0   57.0%     22.4     52.5     191.0   1.00%      223
300124  汇川技术          42.6   57.2%     22.3     40.9     108.8  -0.51%     2007
301596  瑞迪智驱          60.6   58.0%     32.6     57.7      91.3   0.29%       62
301261  恒工精密          60.1   58.8%     20.2     39.5     186.1  -1.36%       78
300184  力源信息          66.8   60.0%     12.3     50.6     206.1   3.64%      186
300276  三丰智能         206.9   60.6%      1.1     72.7     727.2  -2.00%      117
002768  国恩股份          18.8   60.9%      8.4     16.4     101.2   1.92%      189
002026  山东威达          20.9   61.1%     10.7     19.2      63.6   0.82%       54
601689  拓普集团          42.8   61.3%     12.8     38.0     104.3  -2.63%     1152
603683  晶华新材          99.5   61.7%      9.1     72.9    1328.8  -4.14%       92
001339  智微智能         108.0   62.2%     23.9     87.5     782.2  -1.80%      252
603075  热威股份          29.2   62.4%     24.1     28.6      60.7  -2.58%       93
300161  华中数控         209.7   63.6%     30.0    137.0    1268.6   1.21%       65
000425  徐工机械          17.6   63.7%      6.7     15.7     142.8  -3.02%     1128
000723  美锦能源          29.1   63.9%      9.2     24.3    1110.2  -2.37%      181
688139  海尔生物          42.0   64.2%     17.4     37.7     119.9  -1.37%       91
002925  盈趣科技          28.4   64.3%     14.0     25.8      70.5  -1.56%      166
688400  凌云光           84.1   64.5%     43.1     70.7     213.3   1.35%      295
688305  科德数控          97.1   64.6%     51.3     82.1     256.3   3.39%       90
300010  ST豆神          89.5   64.9%     29.4     61.8     508.9   1.12%       56
605088  冠盛股份          23.1   65.1%      9.5     20.7      34.0  -1.10%       66
301325  曼恩斯特          45.4   65.2%     13.9     30.2      75.7   2.71%       60
300031  宝通科技          40.4   65.5%     12.0     28.8     153.9   3.03%      110
